Proffesion;Sex;Region;2005;2007;2009;2011
;;Ленинградская область;7,315;10,844;17,279;26,718.9000
;;Липецкая область;5,922;10,331;12,454;19,191.0700
;;Магаданская область;9,318;12,898;26,799;35,951.8100
;;Московская область;13,226;26,465;36,179;36,556.9800
;;Мурманская область;16,687;20,547;27,564;31,458.9700
;;Ненецкий авт.округ;13,383;24,811;29,667;31,189.4700
;;Нижегородская область;6,102;9,264;13,412;16,839.8300
;;Новгородская область;7,195;11,095;14,452;17,176.5300
;;Новосибирская область;6,106;10,059;17,097;17,181.9900
;;Омская область;5,178;10,841;15,81;21,904.9900
;;Оренбургская область;4,404;5,712;9,372;11,138.9400
;;Орловская область;5,364;7,306;11,228;15,164.4000
;;Пензенская область;4,478;8,052;12,656;16,678.7500
;;Пермский край;6,467;10,993;14,699;15,234.3700
;;Приволжский федеральный округ;6,054;9,81;12,433;15,556.9500
;;Приморский край;7,809;12,603;19,111;21,491.4400
;;Псковская область;7,161;11,164;13,707;16,768.2000
;;Республика Адыгея;7,534;12,161;12,966;20,343.4400
;;Республика Алтай;;12,098;12,108;13,076.5100
;;Республика Башкортостан;5,598;9,623;12,608;15,332.0200
;;Республика Бурятия;4,877;8,165;11,46;13,683.4800
;;Республика Дагестан;2,891;3,655;4,844;6,647
;;Республика Ингушетия;;;4,34;4,7
;;Республика Калмыкия;;3,056;4,837;
;;Республика Карелия;7,533;10,766;16,089;19,965.2500
;;Республика Коми;9,971;12,016;15,375;18,450.7600
;;Республика Марий Эл;4,935;7,75;10,185;11,415.3800
;;Республика Мордовия;4,344;8,339;13,035;13,650.5600
;;Республика Саха (Якутия);7,049;9,879;16,336;18,119.3000
;;Республика Северная Осетия - Алания;3;4,651;6,407;5,726.3200
;;Республика Татарстан;7,199;11,032;11,613;15,519.3400
;;Республика Тыва;5,053;7,364;11,921;12,795.4500
;;Республика Хакасия;6,054;8,586;9,522;15,610.2100
;;Российская Федерация;7,303;11,534;16,448;19,935.2400
;;Ростовская область;4,39;8,276;9,689;13,062.8200
;;Рязанская область;4,305;8,638;17,98;18,333.3600
;;Самарская область;7,893;10,656;12,097;18,038.5800
;;Саратовская область;3,879;7,05;12,143;11,882.1700
;;Сахалинская область;14,28;18,206;28,335;33,053.2100
;;Свердловская область;8,22;14,389;19,104;23,136.5600
;;Северо-Западный федеральный округ;9,106;13,958;19,111;23,422.1500
;;Северо-Кавказский федеральный округ;5,236;7,821;10,812;14,517.4600
;;Сибирский федеральный округ;5,661;9,861;13,883;15,808.4200
;;Смоленская область;5,217;7,019;13,411;10,213.6700
;;Ставропольский край;6,043;9,633;12,975;17,454.1200
;;Тамбовская область;4,137;7,659;11,505;12,617.5000
;;Тверская область;5,789;9,478;14,218;12,780.5400
;;Томская область;6,727;13,278;5,359;20,930.7000
;;Тульская область;6,127;9,236;16,395;21,846.4000
;;Тюменская область;8,057;12,283;13,011;15,813.7200
;;Тюменская область (без АО);;;;14,171.7200
;;Тюменская область (частично);;;10,933.2800;
;;Удмуртская Республика;6,462;10,937;12,637;17,324.4600
;;Ульяновская область;3,925;8,469;10,916;13,878.5700
;;Уральский федеральный округ;7,711;12,661;16,675;19,914.9200
;;Хабаровский край;11,104;12,713;15,411;23,300.6900
;;Ханты-Мансийский автономный округ-Югра;11,199;26,215;31,249;37,84
;;Центральный федеральный округ;8,729;13,811;21,74;26,136.2000
;;Челябинская область;6,84;12,006;17,245;19,643.2800
;;Чеченская Республика;;;;7,847.2200
;;Чувашская Республика;5,792;8,619;11,586;13,872.8900
;;Чукотский автономный округ;15,096;;;
;;Южный федеральный  округ (с 2010 года);;;;16,565.6300
;;Южный федеральный округ (по 2009 год);6,608;9,478;12,612;
;;Ямало-Ненецкий автономный округ;24,438;37,556;34,059;57,396.1500
;;Ярославская область;6,866;9,733;12,485;15,535.4100
;женщины;Алтайский край;4,217;5,76;7,705;11,105.3800
;;Амурская область;10,083;9,36;13,174;27,200.5400
;;Архангельская область;6,253;13,485;17,112;17,805.5900
;;Архангельская область (без АО);;;;16,818.1000
;;Астраханская область;3,765;6,579;;10,356.7100
;;Белгородская область;6,677;9,748;12,507;16,287.0300
;;Брянская область;4,875;7,694;11,027;14,981.2800
;;Владимирская область;5,951;10,207;15,554;16,745.5000
;;Волгоградская область;5,203;9,739;11,88;14,208.7200
;;Вологодская область;6,921;11,21;14,287;16,857.1200
;;Воронежская область;5,28;7,971;10,78;13,108.5800
;;г.Москва;19,204;23,821;43,74;37,899.1500
;;г.Санкт-Петербург;13,388;18,024;28,127;40,063.7200
;;Дальневосточный федеральный округ;8,81;11,745;18,091;22,478.7800
;;Еврейская автономная область;6,254;9,617;14,479;18,533.7200
;;Забайкальский край;10,36;17,352;18,794;60,688.2400
;;Ивановская область;3,589;7,073;9,728;12,328.4200
;;Иркутская область;5,633;8,403;13,755;14,256.2100
;;Кабардино-Балкарская Республика;2,433;;;
;;Калининградская область;2,561;13,996;10,343;14,141.9400
